platform,type,timestamp,ticker,isin,total_amount,quantity,price_per_share,currency,instrument_currency,fx_rate
Trading212_GIA,SELL,20/08/2025,IIND.L,IE00BZCQB185,103.21,14.39056,7.162,GBP,GBP,1
Trading212_ISA,BUY,20/08/2025,META,US30303M1027,100,0.18112762,743.43,GBP,USD,1.34857993
Trading212_ISA,BUY,15/08/2025,QNTG,IE0007Y8Y157,200,12.20256253,16.39,GBP,GBP,1
Trading212_GIA,BUY,14/08/2025,MAG5.L,XS2779861249,32,1.53846153,2080,GBP,GBX,100
Trading212_GIA,SELL,14/08/2025,WING,US9741551033,26.22,0.1057794,336.14,GBP,USD,1.35402465
Trading212_GIA,SELL,14/08/2025,CLS,CA15101Q2071,1.24,0.00847162,198.16,GBP,USD,1.35381959
Trading212_ISA,BUY,13/08/2025,UKW,GB00B8SC6K54,0.0217,1.82124789,1.186,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,ULVR,GB00B10RZP78,0.1378,0.30291648,45.26,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,HSBA,GB0005405286,0.0577,0.601488,9.543,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,BARC,GB0031348658,0.0804,2.13561131,3.746,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,ISF,IE0005042456,0.1009,1.1273743,8.95,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,SHEL,GB00BP6MXD84,0.109,0.40781807,26.605,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,BATS,GB0002875804,0.0334,0.07820965,42.45,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,BNZL,GB00B0744B38,0.0224,0.09937611,22.44,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,REL,GB00B2B0DG97,0.0261,0.07384265,35.21,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,CRDA,GB00BJFFLV09,0.024,0.09739201,24.54,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,LLOY,GB0008706128,0.0361,4.29528595,0.8358,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,RR,GB00B63H8491,0.1704,1.54301319,10.985,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,UU,GB00B39J2M42,0.0409,0.36258351,11.225,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,IMB,GB0004544929,0.0543,0.17612524,30.66,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,HLN,GB00BMX86B70,0.0223,0.62342038,3.561,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,PSN,GB0006825383,0.0226,0.20352781,11.055,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,BA,GB0002634946,0.0869,0.49428571,17.5,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,EXPN,GB00B19NLV48,0.0234,0.06193753,37.78,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,TATE,GB00BP92CJ43,0.0214,0.39813084,5.35,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,AV,GB00BPQY8M80,0.0393,0.59494826,6.572,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,GSK,GB00BN7SWP63,0.0593,0.41593232,14.185,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,IUSA,IE0031442068,0.2291,0.48302761,47.43,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,LSEG,GB00B0SWJX34,0.0248,0.02676636,92.28,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,RIO,GB0007188757,0.0197,0.04215507,46.495,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,DGE,GB0002374006,0.0548,0.26702596,20.41,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,SSE,GB0007908733,0.047,0.26666666,17.55,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,BP,GB0007980591,0.0788,1.87559808,4.18,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,AZN,GB0009895292,0.0802,0.07063197,112.98,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,NG,GB00BDR05C01,0.0847,0.81135707,10.39,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,EQQQ,IE0032077012,0.1012,0.02350318,430.58,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,SGE,GB00B8C3BL03,0.0293,0.26557526,10.995,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,TSCO,GB00BLGZ9862,0.0438,1.04732164,4.163,GBP,GBP,100
Trading212_ISA,BUY,13/08/2025,IGG,GB00B06QFB75,0.0193,0.167979,11.43,GBP,GBP,100
Trading 212_ISA,BUY,08/08/2025,CRDA.L,GB00BJFFLV09,45.79,1.8,2531,GBP,GBX,100
Trading 212_GIA,BUY,07/08/2025,IIND.L,IE00BZCQB185,100,14.39055979,6.949,GBP,GBP,1
Trading 212_ISA,BUY,01/08/2025,ARCK.L,IE000GA3D489,30,5.34092932,561.7,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,IGG.L,GB00B06QFB75,2.96,0.26552655,1111,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,HSBA.L,GB0005405286,8.84,0.94868477,927.6,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,HLN.L,GB00BMX86B70,3.17,0.85971615,366.4,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,GSK.L,GB00BN7SWP63,9.24,0.66091334,1390.5,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,EXPN.L,GB00B19NLV48,3.98,0.09997488,3981,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,EQQQ.L,IE0032077012,14.4,0.03370076,42729,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,DGE.L,GB0002374006,8.83,0.45146379,1947,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,CRDA.L,GB00BJFFLV09,3.38,0.12898272,2605,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,BP.L,GB0007980591,11.18,2.71583831,409.45,GBP,GBX,100
Freetrade,SELL,13/08/2025,META,US30303M1027,57.77,0.1,791.7712,GBP,USD,1.370308
Freetrade,BUY,13/08/2025,SOUN,US8361001071,54.92,4.63665602,15.91,GBP,USD,1.343876
Freetrade,BUY,30/07/2025,META,US30303M1027,79.17,0.14829307,701.4488,GBP,USD,1.31380824
Trading 212_ISA,BUY,30/07/2025,BATS.L,GB0002875804,5.61,0.14158842,3941,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,BARC.L,GB0031348658,11.09,2.98269334,369.8,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,BA.L,GB0002634946,12.34,0.68950028,1781,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,AZN.L,GB0009895292,11.48,0.10253187,11138,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,AV.L,GB00BPQY8M80,5.93,0.91757387,643,GBP,GBX,100
Freetrade,SELL,30/07/2025,NVDA,US67066G1040,78.88,0.59144005,178.7812,GBP,USD,1.34044026
Trading 212_ISA,BUY,30/07/2025,IMB.L,GB0004544929,9.08,0.30967078,2916,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,BNZL.L,GB00B0744B38,4.07,0.17532467,2310,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,IUSA.L,IE0031442068,31.73,0.66733266,4754.75,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,ULVR.L,GB00B10RZP78,21.85,0.49041281,4433,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,UKW.L,GB00B8SC6K54,4.06,3.35548172,120.4,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,TSCO.L,GB00BLGZ9862,5.88,1.37582314,425.2,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,TATE.L,GB00BP92CJ43,2.99,0.55032317,541.5,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,SSE.L,GB0007908733,6.15,0.33098972,1849,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,SHEL.L,GB00BP6MXD84,14.72,0.5405904,2710,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,UU.L,GB00B39J2M42,6.22,0.55515695,1115,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,SGE.L,GB00B8C3BL03,2.99,0.22782874,1308,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,RIO.L,GB0007188757,2.86,0.06249314,4560.5,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,REL.L,GB00B2B0DG97,4.07,0.10368663,3906,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,PSN.L,GB0006825383,3.38,0.29473684,1140,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,NG.L,GB00BDR05C01,12.37,1.17630195,1046.5,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,LSEG.L,GB00B0SWJX34,3.23,0.03222244,9962,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,LLOY.L,GB0008706128,5.88,7.36034222,79.48,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,RR.L,GB00B63H8491,31.49,3.13362672,999.8,GBP,GBX,100
Trading 212_ISA,BUY,30/07/2025,ISF.L,IE0005042456,14.8,1.66798151,887.3,GBP,GBX,100
HL_LISA,BUY,22/07/2025,0P00013YAP.L,GB00BMMV5766,125,33.435,373.85,GBP,GBX,100
